name,count
Водитель руководителя,1
Ресепшионист в отель Бест Вестерн Астана,1
Помощник психолога (Астана),1
Менеджер по продажам в клинику ментального здоровья,1
Флорист в цветочный салон,1
Менеджер офиса Технологических Центров,1
Администратор в стоматологическую клинику,1
Ведущий специалист по качеству поиска,1
Reels-мейкер / Контент-мейкер,1
Администратор отеля,1
Инженер по 3D моделированию,1
Слесарь-механик в г. Астана,1
"Лаборант на завод по производству раствора, г. Астана",1
Координатор по приему обучающихся (Admissions Coordinator),1
Администратор кафе,1
Проектировщик чертежник Revit,1
Заместитель генерального директора по безопасности,1
Ведущий юрист,1
Менеджер по подбору персонала (HR-менеджер/HR-специалист),1
Директор по персоналу (HRD),1
Аккаунт менеджер,1
Практикант-таргетолог,1
Менеджер по сервису,1
Хостес в развлекательный комплекс,1
Сотрудник на склад,1
Менеджер по продаже десертов,1
Менеджер-консультант КФ UMC в колл-центр,1
Водитель с личным автомобилем на развозку сотрудников бухгалтерии,1
Медицинский представитель по г. Астана,1
Менеджер по продажам (полиграфия),1
Редактор-переводчик английского языка,1
Автомеханик,1
Менеджер отдела резервации и бронирования на направления Европа и Катар,1
Менеджер языковой школы,1
Няня помощница / помощник,1
Инженер сервиса,1
Директор магазина одежды,1
Главный специалист по оценке КПЭ,1
Администратор в студию йоги / менеджер по продажам (Анет баба 9/1Б),1
"Главный специалист по планированию, Костанай",1
Сборщик сэндвичей,1
Администратор Колл Центр,1
Помощник вожатого,1
Специалист по сертификации происхождения товаров (по договору оказания услуг),1
Оператор ПК,1
"Специалист по обслуживанию инженерных систем, безопасности и охране труда",1
Менеджер пункта выдачи (проспект Аль-Фараби 23),1
SMM-менеджер/Начинающие блогеры/Контент мейкер,1
Кассир-бариста в сеть кофеен ESPRESSODAY,1
Ресепшионист,1
"Менеджер по обработке клиентов (WB, Kaspi, Ozon)",1
Staff (A1)/Intern in Audit Delivery Network (DATAS),1
Помощник бухгалтера/аудитора,1
Оператор call-центра в головной офис HappyCake,1
Менеджер по туризму у ведущего туроператора с гибридным графиком,1
Мастер маникюра / мастер ногтевого сервиса,1
Гид,1
Фотограф,1
Помощник руководителя/Офис-менеджер/Ассистент,1
Стоматолог-терапевт,1
Chief Product Officer / Директор по продукту,1
